TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PLAS3;5,46;;-0,49;-0,12;0,11;13,08;-0,38;-12,02;-15,50;-81,90;-66,40;;0,06;-0,21;-0,16;0,39;-23,89;-21,69;10,97;-0,91;1,91;1,81;22,66;;1.684,10;-46,45;-11,10;0,00;67.842.782,28
PLPL3;14,71;6,84;8,12;3,74;1,20;32,98;18,04;13,69;6,17;6,44;0,27;0,17;1,11;2,08;-7,90;3,12;46,07;14,76;29,06;0,32;0,65;1,08;29,22;29,29;16.490.432,52;3,93;1,81;0,22;2.999.383.710,00
PMAM3;1,88;;-0,07;-0,02;0,09;-31,37;-80,91;-376,62;-0,34;-12,69;-12,35;;0,27;-0,02;-0,12;0,06;-30,37;-122,93;35,79;-4,05;5,05;0,33;-38,50;;1.066.758,67;-85,00;-25,82;0,00;141.797.746,04
PNVL3;8,96;3,85;13,83;1,08;0,42;31,73;3,99;1,96;6,79;11,93;5,13;0,82;0,27;1,59;-0,97;1,90;7,82;3,07;7,41;0,39;0,61;1,57;12,65;4,88;4.146.997,33;8,28;0,65;-1,38;1.347.382.229,76
PNVL4;18,62;;28,74;2,25;0,88;31,73;3,99;1,96;14,12;11,93;5,13;0,82;0,56;3,30;-2,02;1,90;7,82;3,07;7,41;0,39;0,61;1,57;12,65;4,88;;8,28;0,65;-2,88;1.347.382.229,76
POMO3;6,24;9,21;6,26;1,79;0,79;24,73;16,33;13,14;5,04;6,67;0,95;0,34;0,82;3,28;-1,90;1,70;28,59;12,61;15,01;0,44;0,55;0,96;14,78;41,24;1.636.043,86;3,49;1,00;0,23;8.041.813.838,07
POMO4;7,55;7,62;7,58;2,17;0,96;24,73;16,33;13,14;6,10;6,67;0,95;0,34;1,00;3,97;-2,29;1,70;28,59;12,61;15,01;0,44;0,55;0,96;14,78;41,24;68.719.135,67;3,49;1,00;0,27;8.041.813.838,07
PORT3;17,43;7,79;13,44;2,80;1,18;47,83;33,12;18,73;7,60;9,71;2,11;0,78;2,52;57,09;-1,46;1,12;20,81;8,78;13,37;0,42;0,58;0,47;12,80;37,65;21.620.477,29;6,23;1,30;0,38;7.686.244.797,00
POSI3;4,29;6,38;208,04;0,38;0,14;25,14;7,07;0,09;2,53;5,73;3,21;0,48;0,18;0,43;-0,42;2,03;0,18;0,07;7,77;0,38;0,62;0,81;14,00;-29,22;5.400.355,95;11,34;0,02;-2,10;608.322.000,00
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;;11,02;0,46;-1,77;977.237.930,40
PPAR3;14,60;16,25;1,32;0,04;0,03;;;;1,68;-3,52;-5,20;-0,13;;0,32;-0,03;77,22;3,07;2,22;1,90;0,72;0,28;0,00;;39,15;;359,85;11,03;-0,03;2.160.800,00
PPAR4;0,00;;0,00;0,00;0,00;;;;0,00;-3,52;-5,20;-0,13;;0,00;0,00;77,22;3,07;2,22;1,90;0,72;0,28;0,00;;39,15;;359,85;11,03;0,00;2.160.800,00
PPLA11;1,00;;0,47;312,74;5,37;;;;0,47;0,47;0,00;0,00;;;-312,74;1,00;66.622,22;1.144,27;66.622,22;0,02;0,98;0,00;;;440,14;0,00;2,13;0,00;2.814.666,00
PRIO3;43,52;;3,44;1,47;0,71;43,99;40,30;72,61;6,20;9,05;2,85;0,67;2,50;6,85;-0,84;3,19;42,58;20,68;0,78;0,49;0,51;0,28;54,25;77,89;380.429.435,38;29,68;12,64;0,03;39.008.985.448,96
PRNR3;15,01;0,34;67,55;2,04;0,50;22,09;7,78;0,83;7,19;10,39;3,20;0,91;0,56;1,80;-1,13;1,96;3,02;0,73;8,28;0,24;0,75;0,89;25,85;;3.229.894,90;7,36;0,22;2,54;701.278.562,57
PSSA3;53,25;4,11;12,18;2,48;0,70;100,00;8,76;7,79;10,83;7,71;-3,13;-0,72;0,95;11,02;-1,56;1,13;20,39;5,71;13,61;0,28;0,72;0,73;14,28;15,43;96.836.808,43;21,43;4,37;1,25;34.430.707.695,00
PTBL3;4,79;;-5,92;2,14;0,19;36,12;4,76;-4,61;5,74;14,30;8,57;3,19;0,27;-3,39;-0,30;0,87;-36,12;-3,16;5,69;0,09;0,91;0,69;16,66;;2.215.791,67;2,24;-0,81;-0,03;675.327.183,94
PTCA11;0,00;;0,00;0,00;0,00;48,98;12,20;9,03;0,00;1,23;1,23;0,49;0,00;0,00;0,00;1,94;29,27;10,95;15,77;0,37;0,63;1,21;19,72;30,95;;31,49;9,22;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;48,98;12,20;9,03;0,00;1,23;1,23;0,49;0,00;0,00;0,00;1,94;29,27;10,95;15,77;0,37;0,63;1,21;19,72;30,95;;31,49;9,22;0,00;0,00
PTNT3;8,98;3,02;11,19;0,98;0,41;14,84;6,42;4,69;8,17;8,37;2,68;0,32;0,52;1,19;-0,92;2,56;8,77;3,63;5,75;0,41;0,50;0,77;6,38;9,66;3.112,92;9,15;0,80;-0,68;300.776.841,12
PTNT4;4,90;5,53;6,11;0,54;0,22;14,84;6,42;4,69;4,46;8,37;2,68;0,32;0,29;0,65;-0,50;2,56;8,77;3,63;5,75;0,41;0,50;0,77;6,38;9,66;115.516,81;9,15;0,80;-0,37;300.776.841,12
QUAL3;1,78;;134,20;0,39;0,11;84,39;11,21;0,24;2,91;7,93;5,02;0,67;0,33;3,67;-0,19;1,08;0,29;0,09;4,72;0,29;0,70;0,35;-4,63;-60,52;3.784.244,19;4,57;0,01;-1,28;505.545.498,50
QUSW3;0,00;;0,00;0,00;0,00;94,75;47,06;36,45;0,00;1,44;1,44;0,42;0,00;0,00;0,00;1,14;22,61;8,75;16,35;0,39;0,61;0,24;-12,03;62,00;;126,07;28,50;0,00;0,00
QVQP3B;0,00;;0,00;0,00;0,00;;;;0,00;0,81;0,81;-0,97;;0,00;;;-109,40;-109,40;-119,66;1,00;0,00;0,00;;;;0,00;0,00;0,00;0,00
RADL3;13,96;2,69;20,39;3,70;1,06;29,58;5,79;2,95;10,41;11,58;1,17;0,42;0,60;7,13;-2,52;1,34;18,13;5,20;22,21;0,29;0,71;1,76;17,22;8,78;194.193.610,48;3,78;0,68;1,71;23.983.380.512,00
RAIL3;17,90;4,53;-23,25;2,27;0,65;46,27;15,38;-10,38;15,69;21,89;6,20;0,90;2,41;6,52;-0,82;1,90;-9,78;-2,78;3,66;0,28;0,71;0,27;14,48;;211.593.455,62;7,87;-0,77;0,10;33.202.154.187,10
RAIZ4;1,71;0,59;-4,16;0,97;0,13;4,64;1,69;-1,67;4,10;14,92;10,82;2,57;0,07;1,17;-0,22;1,33;-23,42;-3,02;3,79;0,13;0,87;1,81;20,39;;34.995.639,43;1,76;-0,41;0,00;17.702.791.217,64
RANI3;7,45;8,89;5,54;1,27;0,49;38,59;20,41;19,35;5,25;8,48;3,23;0,78;1,07;1,91;-0,75;3,51;22,84;8,76;7,67;0,38;0,62;0,45;12,61;;4.453.577,95;5,89;1,35;-1,02;1.786.732.896,55
RANI4;5,50;;4,09;0,93;0,36;38,59;20,41;19,35;3,88;8,48;3,23;0,78;0,79;1,41;-0,56;3,51;22,84;8,76;7,67;0,38;0,62;0,45;12,61;;;5,89;1,35;-0,75;1.786.732.896,55
RAPT3;8,30;4,94;8,57;0,88;0,15;26,63;9,86;2,54;2,21;7,80;5,51;2,20;0,22;0,54;-0,33;2,06;10,27;1,76;7,54;0,17;0,76;0,69;18,53;5,20;379.984,05;9,43;0,97;-1,31;2.839.850.926,90
RAPT4;8,80;4,66;9,08;0,93;0,16;26,63;9,86;2,54;2,34;7,80;5,51;2,20;0,23;0,57;-0,35;2,06;10,27;1,76;7,54;0,17;0,76;0,69;18,53;5,20;29.929.390,86;9,43;0,97;-1,38;2.839.850.926,90
RCSL3;2,43;;-4,07;-3,99;1,66;5,25;-141,33;-174,33;-5,02;-3,11;0,00;;7,09;-10,70;-2,48;0,68;-98,08;-40,75;79,52;-0,42;1,42;0,23;1,25;;558.058,71;-0,61;-0,60;-0,03;47.917.973,40
RCSL4;1,04;;-1,74;-1,71;0,71;5,25;-141,33;-174,33;-2,15;-3,11;0,00;;3,04;-4,58;-1,06;0,68;-98,08;-40,75;79,52;-0,42;1,42;0,23;1,25;;1.980.950,10;-0,61;-0,60;-0,01;47.917.973,40
RDNI3;2,48;;-0,78;0,49;0,08;15,60;-15,36;-28,54;-1,46;-8,64;-7,18;2,43;0,22;0,38;-0,16;1,79;-62,76;-10,38;-11,14;0,17;0,82;0,36;11,10;;18.445,24;5,04;-3,16;0,02;108.549.123,84
RDOR3;34,55;2,60;19,37;3,16;0,76;19,38;15,50;7,95;9,93;9,66;-0,27;-0,09;1,54;2,30;-1,53;2,87;16,33;3,91;10,55;0,24;0,74;0,49;30,58;28,46;200.260.130,24;10,92;1,78;0,32;79.095.058.984,50
REAG3;3,80;;40,27;1,82;1,71;83,42;-44,59;21,86;-19,74;-8,94;10,80;-1,00;8,80;1,87;-70,10;16,47;4,53;4,25;-9,87;0,94;0,06;0,19;35,82;;50.616,85;2,08;0,09;0,12;535.768.862,80
RECV3;15,80;13,88;8,35;1,04;0,62;36,76;29,83;16,42;4,60;5,43;0,83;0,19;1,37;4,94;-0,79;2,47;12,43;7,44;15,78;0,60;0,40;0,45;57,21;54,19;38.463.936,19;15,21;1,89;-0,80;4.636.859.590,80
REDE3;6,77;6,07;10,76;3,44;0,47;25,13;17,87;7,35;4,43;8,49;4,06;3,15;0,79;6,49;-0,65;1,38;31,93;4,41;13,71;0,14;0,79;0,60;9,82;13,28;7.301,71;1,97;0,63;-0,38;14.286.889.241,98
RENT3;43,00;3,86;24,21;1,76;0,58;23,50;15,54;4,97;7,74;13,49;5,75;1,31;1,20;8,83;-0,73;1,43;7,28;2,38;8,59;0,33;0,67;0,48;29,60;18,19;364.841.778,90;24,42;1,78;-5,22;46.552.690.960,00
RLOG3;23,08;;82,76;4,26;0,23;34,71;29,67;1,85;5,17;12,09;6,92;5,71;1,53;1,49;-0,31;2,64;5,15;0,28;5,46;0,05;0,71;0,15;50,58;4,37;;5,41;0,28;-2,42;10.691.215.482,28
RNEW11;3,37;;-3,71;0,55;0,13;-2,79;13,16;-37,47;10,56;36,86;26,30;1,37;1,39;-2,80;-0,15;0,72;-14,86;-3,57;1,99;0,24;0,76;0,10;21,43;;25.063,14;6,11;-0,91;-0,01;418.086.592,23
RNEW3;1,12;;-3,70;0,55;0,13;-2,79;13,16;-37,47;10,53;36,86;26,30;1,37;1,39;-2,79;-0,15;0,72;-14,86;-3,57;1,99;0,24;0,76;0,10;21,43;;76.369,81;2,04;-0,30;-0,01;418.086.592,23
RNEW4;1,11;;-3,67;0,54;0,13;-2,79;13,16;-37,47;10,44;36,86;26,30;1,37;1,37;-2,77;-0,15;0,72;-14,86;-3,57;1,99;0,24;0,76;0,10;21,43;;208.878,19;2,04;-0,30;-0,01;418.086.592,23
ROMI3;8,97;9,14;7,89;0,69;0,34;28,12;7,85;8,25;8,29;13,24;4,96;0,41;0,65;1,05;-0,86;2,12;8,70;4,27;4,76;0,49;0,51;0,52;9,77;-3,95;1.006.657,00;13,07;1,14;-0,29;835.741.600,59
RPAD3;4,20;1,92;-4,39;0,34;0,34;;;;-3,72;-4,35;0,56;-0,05;;6,78;-0,36;16,74;-7,82;-7,75;-10,01;0,99;0,01;0,00;;;1.360,43;12,22;-0,96;0,01;469.743.908,95
RPAD5;7,15;7,53;-7,48;0,59;0,58;;;;-6,33;-4,35;0,56;-0,05;;11,55;-0,61;16,74;-7,82;-7,75;-10,01;0,99;0,01;0,00;;;2.186,25;12,22;-0,96;0,02;469.743.908,95
RPAD6;4,11;;-4,30;0,34;0,33;;;;-3,64;-4,35;0,56;-0,05;;6,64;-0,35;16,74;-7,82;-7,75;-10,01;0,99;0,01;0,00;;;1.258,00;12,22;-0,96;0,01;469.743.908,95
RPMG3;2,91;;-0,15;-0,03;0,02;-13,74;-20,96;-17,66;-0,12;-0,10;0,03;;0,03;-0,08;-0,42;0,78;-19,39;-14,77;23,01;-0,76;1,76;0,84;42,58;;14.233,95;-102,21;-19,82;0,00;196.982.640,39
RSID3;2,09;;0,15;-0,04;0,08;28,74;-311,91;327,60;-0,16;-1,50;-1,34;;0,50;-0,14;-0,17;0,45;-28,42;54,91;100,59;-1,93;2,93;0,17;-41,82;;77.848,43;-48,60;13,81;0,00;41.800.000,00
RSUL3;0,00;;0,00;0,00;0,00;41,05;21,75;15,11;0,00;1,52;-0,46;-0,16;0,00;0,00;0,00;2,65;23,36;14,07;21,54;0,60;0,40;0,93;17,77;27,64;;41,32;9,66;0,00;167.180.075,00
RSUL4;67,00;;6,94;1,62;0,98;41,05;21,75;15,11;4,82;1,52;-0,46;-0,16;1,05;2,77;-2,25;2,65;23,36;14,07;21,54;0,60;0,40;0,93;17,77;27,64;99.025,79;41,32;9,66;1,04;167.180.075,00
SANB11;29,47;5,46;8,20;0,91;0,09;40,55;13,53;9,40;5,70;5,70;;;0,77;;-0,09;;11,14;1,08;;0,10;0,90;0,11;13,50;-4,13;71.295.912,90;32,24;3,59;0,20;110.490.855.036,49
SANB3;14,00;5,47;7,79;0,87;0,08;40,55;13,53;9,40;5,41;5,70;;;0,73;;-0,09;;11,14;1,08;;0,10;0,90;0,11;13,50;-4,13;1.000.262,33;16,12;1,80;0,19;110.490.855.036,49
SANB4;15,41;5,47;8,58;0,96;0,09;40,55;13,53;9,40;5,96;5,70;;;0,81;;-0,09;;11,14;1,08;;0,10;0,90;0,11;13,50;-4,13;1.110.381,71;16,12;1,80;0,21;110.490.855.036,49
SAPR11;36,66;4,23;7,40;1,09;0,56;58,29;34,90;22,12;4,69;6,78;2,09;0,49;1,64;8,48;-0,67;1,71;14,71;7,59;10,96;0,52;0,48;0,34;8,62;10,90;41.858.741,33;33,68;4,95;14,14;11.080.158.865,31
SAPR3;7,44;3,86;7,51;1,10;0,57;58,29;34,90;22,12;4,76;6,78;2,09;0,49;1,66;8,61;-0,68;1,71;14,71;7,59;10,96;0,52;0,48;0,34;8,62;10,90;1.445.297,19;6,74;0,99;14,35;11.080.158.865,31
SAPR4;7,23;4,37;7,30;1,07;0,55;58,29;34,90;22,12;4,63;6,78;2,09;0,49;1,61;8,36;-0,66;1,71;14,71;7,59;10,96;0,52;0,48;0,34;8,62;10,90;8.595.934,29;6,74;0,99;13,94;11.080.158.865,31
SBFG3;11,78;4,66;5,08;0,99;0,34;49,30;8,35;7,85;4,77;7,81;3,04;0,63;0,40;2,03;-0,70;1,49;19,46;6,70;10,87;0,34;0,66;0,85;22,95;12,77;16.882.273,10;11,91;2,32;0,03;2.874.472.904,40
SBSP3;115,02;3,24;7,68;2,05;0,92;53,87;43,91;26,93;4,71;5,88;1,17;0,51;2,07;72,16;-1,09;1,09;26,66;11,95;18,72;0,45;0,55;0,44;14,98;24,91;285.790.484,48;56,18;14,98;0,04;78.617.305.132,38
SCAR3;16,93;10,31;-33,93;0,64;0,35;40,60;20,99;-6,27;10,14;20,39;10,25;0,64;2,13;1,89;-0,47;3,95;-1,88;-1,05;2,73;0,56;0,44;0,17;6,45;;325.320,19;26,57;-0,50;0,31;977.492.810,67
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;10,12;1,52;21,71;1,04;0,38;57,02;14,47;2,90;4,35;6,31;1,96;0,47;0,63;6,62;-0,53;1,26;4,79;1,76;12,82;0,37;0,63;0,61;9,20;-15,14;7.997.374,19;9,73;0,47;-0,05;1.302.662.187,20
SEQL3;1,21;;-0,06;-0,07;0,05;-3,27;-140,15;-142,29;-0,06;-0,97;-0,91;;0,08;-0,10;-0,06;0,24;-118,36;-88,81;-1.309,21;-0,75;1,75;0,62;7,84;;729.016,19;-18,38;-21,75;0,00;60.877.006,96
SGPS3;1,64;;-0,02;-0,02;0,01;-2,19;-81,65;-176,79;-0,04;-2,39;-2,36;;0,03;-0,01;-0,01;0,25;-133,99;-47,66;-117,71;-0,36;1,36;0,27;-12,92;;0,00;-72,45;-97,07;0,00;16.400.000,00
SHOW3;6,70;;-0,58;0,35;0,11;16,82;-21,12;-50,66;-1,39;-0,50;0,89;-0,23;0,29;0,73;-0,26;1,37;-60,68;-19,53;-20,19;0,32;0,67;0,39;-15,90;;172.357,00;19,07;-11,57;0,00;45.166.455,40
SHUL3;27,31;0,95;36,63;6,65;3,49;26,23;14,79;13,43;33,27;17,74;-0,16;-0,03;4,92;7,99;-9,79;3,10;18,15;9,52;11,42;0,52;0,48;0,71;12,91;22,36;0,00;4,11;0,75;24,44;5.248.713.609,16
SHUL4;5,27;7,88;7,07;1,28;0,67;26,23;14,79;13,43;6,42;17,74;-0,16;-0,03;0,95;1,54;-1,89;3,10;18,15;9,52;11,42;0,52;0,48;0,71;12,91;22,36;1.870.037,14;4,11;0,75;4,72;5.248.713.609,16
SIMH3;5,53;1,27;-20,45;1,71;0,06;25,58;16,30;-0,56;0,70;7,28;6,58;16,11;0,11;0,55;-0,09;1,45;-8,36;-0,28;10,21;0,03;0,93;0,51;33,49;;27.651.721,38;3,23;-0,27;0,38;4.827.914.147,49
SLCE3;18,35;2,98;9,82;1,66;0,47;31,67;21,76;9,58;4,33;7,02;2,69;1,03;0,94;3,47;-0,83;1,44;16,86;4,74;14,93;0,28;0,71;0,49;20,74;21,60;35.575.143,76;11,08;1,87;0,23;8.135.100.288,60
SLED3;3,21;;0,45;-0,08;0,48;47,85;73,94;92,71;0,56;0,95;0,65;;0,42;-0,20;-0,72;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,02;16.497.692,59
SLED4;1,60;;0,22;-0,04;0,24;47,85;73,94;92,71;0,28;0,95;0,65;;0,21;-0,10;-0,36;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,01;16.497.692,59
SMFT3;24,04;2,39;30,96;2,60;0,79;41,79;22,78;7,73;10,51;12,70;2,19;0,54;2,39;9,92;-1,02;1,53;8,39;2,54;11,30;0,30;0,70;0,33;22,98;;96.924.336,19;9,25;0,78;-0,56;14.357.891.274,12
SMLS3;22,40;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;24,47;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2.781.160.547,20
SMTO3;19,50;4,63;6,01;0,94;0,32;23,59;29,54;13,75;2,80;5,50;2,70;0,91;0,83;1,92;-0,46;2,18;15,72;5,30;12,90;0,34;0,66;0,39;15,45;28,00;29.333.841,19;20,64;3,25;0,77;6.482.490.124,50
SNSY3;11,40;;-2,12;-0,04;0,15;24,78;29,50;-4,31;0,31;0,92;0,74;;0,09;-1,32;-0,37;0,84;-2,05;-7,18;-15,64;-3,50;4,53;1,67;15,69;;7.400,17;-262,50;-5,38;0,03;52.557.600,00
SNSY5;4,40;;-0,82;-0,02;0,06;24,78;29,50;-4,31;0,12;0,92;0,74;;0,04;-0,51;-0,14;0,84;-2,05;-7,18;-15,64;-3,50;4,53;1,67;15,69;;32.901,07;-262,50;-5,38;0,01;52.557.600,00
SNSY6;11,51;;-2,14;-0,04;0,15;24,78;29,50;-4,31;0,31;0,92;0,74;;0,09;-1,34;-0,38;0,84;-2,05;-7,18;-15,64;-3,50;4,53;1,67;15,69;;0,00;-262,50;-5,38;0,03;52.557.600,00
SOJA3;11,45;2,60;15,49;1,15;0,45;12,79;8,38;5,26;9,72;9,45;-0,26;-0,03;0,81;0,87;-1,62;3,46;7,42;2,88;5,16;0,39;0,43;0,55;35,41;30,27;5.448.145,00;9,96;0,74;-0,21;1.549.438.548,80
SOMA3;5,95;;2,96;0,80;0,49;56,80;-46,46;29,33;-1,87;-2,32;-0,45;0,19;0,87;2,01;-0,84;2,36;27,15;16,44;-46,41;0,61;0,39;0,56;37,72;80,87;99.716.529,00;7,40;2,01;0,01;4.669.246.869,35
SOND3;47,00;;4,85;1,61;0,98;30,11;15,95;11,54;3,51;2,12;-0,95;-0,44;0,56;3,40;-2,24;2,07;33,27;20,30;27,61;0,61;0,39;1,76;25,49;40,27;0,00;29,13;9,69;0,01;100.863.915,00
SOND5;44,00;;4,54;1,51;0,92;30,11;15,95;11,54;3,28;2,12;-0,95;-0,44;0,52;3,18;-2,10;2,07;33,27;20,30;27,61;0,61;0,39;1,76;25,49;40,27;4.133,33;29,13;9,69;0,01;100.863.915,00
SOND6;37,85;;3,90;1,30;0,79;30,11;15,95;11,54;2,82;2,12;-0,95;-0,44;0,45;2,74;-1,80;2,07;33,27;20,30;27,61;0,61;0,39;1,76;25,49;40,27;9.307,00;29,13;9,69;0,01;100.863.915,00
SPRT3B;76,40;;-2.383,09;-17.249,28;13.052,41;;;;-2.390,16;-2.389,98;0,18;;;-17.249,28;;0,57;-723,82;-547,71;721,68;-0,76;1,76;0,00;;;;0,00;-0,03;16,35;370.531.748,80
SQIA3;27,37;;-110,33;3,70;1,49;42,19;6,45;-3,26;55,72;60,18;4,46;0,30;3,59;25,87;-1,84;1,43;-3,35;-1,35;3,18;0,40;0,58;0,41;35,51;;;7,40;-0,25;0,62;2.406.971.773,64
SRNA3;11,59;;1.177,59;1,33;0,35;30,32;25,59;0,13;6,14;15,27;9,13;1,97;1,57;15,26;-0,42;1,16;0,11;0,03;6,10;0,26;0,73;0,22;;;88.906.223,71;8,74;0,01;-12,04;7.217.447.144,04
STBP3;13,68;5,49;14,91;19,45;2,23;56,09;43,80;25,23;8,59;10,22;1,63;3,69;3,76;2.014,97;-2,66;1,01;130,43;14,96;32,20;0,11;0,89;0,59;24,45;120,02;61.448.140,05;0,70;0,92;0,48;11.821.850.647,92
STKF3;0,00;;0,00;0,00;0,00;54,65;36,95;23,68;0,00;3,27;3,27;0,25;0,00;0,00;0,00;3,14;4,97;3,15;5,31;0,63;0,37;0,13;24,60;27,74;;8,19;0,41;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;25,38;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
SULA11;22,25;;52,23;1,13;0,31;4,25;-3,34;0,83;-12,92;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;313.020.093,00;19,64;0,43;-0,94;9.475.042.424,17
SULA3;7,43;;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,95;9.475.042.424,17
SULA4;7,63;;53,73;1,17;0,32;4,25;-3,34;0,83;-13,30;6,54;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,97;9.475.042.424,17
SUZB3;51,55;3,91;-68,35;1,70;0,42;40,54;31,11;-1,93;4,23;9,08;4,85;1,94;1,32;3,06;-0,54;2,61;-2,48;-0,61;10,53;0,25;0,75;0,32;12,75;;365.979.301,71;30,38;-0,75;0,62;65.165.263.053,25
SYNE3;6,01;55,59;1,64;0,84;0,29;41,41;62,11;42,00;1,11;1,60;0,48;0,37;0,69;0,94;-0,46;5,43;51,13;17,62;24,74;0,34;0,41;0,42;23,59;76,27;2.548.278,14;7,15;3,66;0,00;917.393.114,45
TAEE11;34,56;7,92;7,07;1,63;0,57;63,45;73,56;42,45;4,08;7,31;3,24;1,30;3,00;8,29;-0,66;1,85;23,09;8,01;15,53;0,35;0,65;0,19;15,68;10,96;59.129.436,62;21,18;4,89;0,31;11.905.882.225,92
TAEE3;11,40;8,01;6,99;1,61;0,56;63,45;73,56;42,45;4,03;7,31;3,24;1,30;2,97;8,21;-0,66;1,85;23,09;8,01;15,53;0,35;0,65;0,19;15,68;10,96;792.992,62;7,06;1,63;0,31;11.905.882.225,92
TAEE4;11,50;7,94;7,05;1,63;0,57;63,45;73,56;42,45;4,07;7,31;3,24;1,30;2,99;8,28;-0,66;1,85;23,09;8,01;15,53;0,35;0,65;0,19;15,68;10,96;1.558.843,05;7,06;1,63;0,31;11.905.882.225,92
TASA3;7,63;2,66;13,93;0,84;0,42;34,96;9,47;4,85;7,13;10,44;3,60;0,42;0,68;1,76;-0,99;1,70;6,01;3,01;6,87;0,50;0,50;0,62;10,85;11,93;58.160,43;9,10;0,55;-0,32;1.019.620.865,83
TASA4;7,14;2,84;13,04;0,78;0,39;34,96;9,47;4,85;6,68;10,44;3,60;0,42;0,63;1,65;-0,93;1,70;6,01;3,01;6,87;0,50;0,50;0,62;10,85;11,93;1.549.342,38;9,10;0,55;-0,30;1.019.620.865,83
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,28;6.451.072,50
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,20;6.451.072,50
TCSA3;1,17;;-0,64;0,23;0,07;-8,15;-21,52;-31,51;-0,93;-5,78;-4,85;1,18;0,20;2,67;-0,11;1,08;-35,79;-10,80;-10,72;0,30;0,69;0,34;5,16;;79.856,10;5,14;-1,84;-0,01;86.134.499,10
TECN3;6,79;3,52;6,62;1,03;0,61;54,67;16,13;15,17;6,23;6,41;0,18;0,03;1,00;1,34;-1,83;3,20;15,53;9,25;10,50;0,60;0,40;0,61;4,83;;580.709,38;6,60;1,03;0,89;420.003.699,85
TEKA3;42,50;;-0,13;-0,01;0,02;24,58;-4,48;-52,80;-1,47;-43,28;-42,29;;0,07;-0,01;-0,02;0,05;-7,76;-13,93;0,93;-1,80;2,80;0,26;14,82;;0,00;-4.378,29;-339,62;-0,01;14.260.237,50
TEKA4;21,25;;-0,06;0,00;0,01;24,58;-4,48;-52,80;-0,74;-43,28;-42,29;;0,03;0,00;-0,01;0,05;-7,76;-13,93;0,93;-1,80;2,80;0,26;14,82;;0,00;-4.378,29;-339,62;0,00;14.260.237,50
TELB3;12,25;;-4,78;0,94;0,29;-58,26;-39,90;-61,12;-7,32;1,19;8,10;-1,04;2,92;0,83;-0,51;4,92;-19,59;-6,06;-12,12;0,31;0,69;0,10;15,86;;49.651,50;13,09;-2,56;-0,04;1.081.959.228,59
TELB4;8,74;;-3,41;0,67;0,21;-58,26;-39,90;-61,12;-5,22;1,19;8,10;-1,04;2,08;0,59;-0,37;4,92;-19,59;-6,06;-12,12;0,31;0,69;0,10;15,86;;30.519,24;13,09;-2,56;-0,03;1.081.959.228,59
