TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MOAR3;145,00;34,62;-21,89;1,79;0,84;;;;-7,38;-5,12;2,26;-0,55;;1,66;-2,12;6,12;-8,19;-3,83;-22,80;0,47;0,53;0,00;;;173.736,71;80,88;-6,62;0,20;1.776.427.045,00
MODL11;8,46;;-27,27;1,66;0,27;50,83;-5,11;-5,48;-29,26;-29,26;;;1,50;;-0,30;;-6,10;-0,97;;0,16;0,84;0,18;;;;5,09;-0,31;0,17;1.985.844.000,00
MODL3;3,08;;-29,78;1,82;0,29;50,83;-5,11;-5,48;-31,96;-29,26;;;1,63;;-0,32;;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,19;1.985.844.000,00
MODL4;2,72;;-26,30;1,60;0,26;50,83;-5,11;-5,48;-28,22;-29,26;;;1,44;;-0,29;;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,17;1.985.844.000,00
MOSI3;8,24;;2,17;0,14;0,02;0,00;0,00;3,42;;;;0,00;0,07;;-0,02;;6,38;0,74;;0,12;0,88;0,22;;;;59,43;3,79;0,17;1.043.149.227,20
MOTV3;13,43;2,31;18,67;1,91;0,43;35,79;27,17;6,70;4,60;9,87;5,27;2,19;1,25;5,87;-0,52;1,81;10,23;2,32;9,27;0,23;0,77;0,35;15,52;0,20;78.876.314,95;7,03;0,72;7,26;27.128.600.000,00
MOVI3;8,28;2,15;11,02;1,10;0,10;30,15;19,78;1,86;1,04;7,14;6,11;6,50;0,21;-2,57;-0,13;0,87;10,02;0,89;11,90;0,09;0,91;0,48;28,58;2,79;41.441.141,81;7,49;0,75;-0,08;2.880.872.538,48
MRFG3;23,28;12,13;7,08;7,09;0,15;13,08;4,04;1,80;3,15;9,99;6,84;15,39;0,13;2,21;-0,23;1,22;100,15;2,08;4,40;0,02;0,85;1,16;25,01;66,86;154.695.494,00;3,28;3,29;-0,02;19.972.566.610,32
MRSA3B;26,30;3,62;6,43;1,15;0,43;42,81;35,08;19,59;3,59;5,40;1,86;0,59;1,26;4,58;-0,57;1,67;17,84;6,75;11,77;0,38;0,62;0,34;17,02;22,39;3.506,67;22,93;4,09;7,19;8.768.182.145,30
MRSA5B;25,93;4,04;6,34;1,13;0,43;42,81;35,08;19,59;3,54;5,40;1,86;0,59;1,24;4,52;-0,56;1,67;17,84;6,75;11,77;0,38;0,62;0,34;17,02;22,39;0,00;22,93;4,09;7,09;8.768.182.145,30
MRSA6B;25,50;4,11;6,23;1,11;0,42;42,81;35,08;19,59;3,48;5,40;1,86;0,59;1,22;4,44;-0,55;1,67;17,84;6,75;11,77;0,38;0,62;0,34;17,02;22,39;0,00;22,93;4,09;6,97;8.768.182.145,30
MRVE3;5,85;;-4,75;0,55;0,11;27,02;3,64;-7,38;9,63;35,47;25,84;1,47;0,35;0,80;-0,21;1,47;-11,55;-2,41;0,97;0,21;0,76;0,33;8,27;;63.529.366,43;10,65;-1,23;-0,02;3.292.536.025,35
MSPA3;47,00;;-7.342,26;0,36;0,20;36,17;17,51;-0,02;10,34;15,13;5,08;0,18;1,81;-7,63;-0,22;0,76;0,00;0,00;1,69;0,57;0,43;0,11;6,03;;0,00;130,46;-0,01;73,09;292.756.110,20
MSPA4;36,30;;-5.670,72;0,28;0,16;36,17;17,51;-0,02;7,98;15,13;5,08;0,18;1,40;-5,90;-0,17;0,76;0,00;0,00;1,69;0,57;0,43;0,11;6,03;;0,00;130,46;-0,01;56,45;292.756.110,20
MSRO3;702,50;;-5.261,13;272,50;65,70;31,13;15,29;-2,38;818,60;825,85;7,26;2,42;125,16;-555,60;-83,94;0,65;-5,18;-1,25;7,47;0,24;0,76;0,52;22,78;;;2,58;-0,13;39,04;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;-16,12;-64,07;-113,09;0,00;-1,28;-1,17;;0,00;0,00;0,00;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;0,00;3.700.608,00
MTIG4;23,00;;-49,52;-359,15;36,91;-16,12;-64,07;-113,09;-87,41;-1,28;-1,17;;56,00;-50,93;-50,15;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;-0,09;3.700.608,00
MTRE3;4,00;11,79;7,13;0,42;0,19;24,83;8,32;5,06;4,33;9,22;4,88;0,48;0,36;0,40;-1,01;2,45;5,95;2,67;4,24;0,45;0,53;0,53;30,48;13,19;1.847.060,48;9,43;0,56;-0,39;423.099.280,00
MTSA3;75,00;2,53;17,94;1,42;1,19;23,76;7,29;7,06;17,38;9,54;-4,00;-0,33;1,27;1,92;-5,01;5,36;7,91;6,63;4,72;0,84;0,16;0,94;11,91;15,34;7.512,50;52,86;4,18;-0,37;513.674.790,00
MTSA4;43,20;4,84;10,33;0,82;0,68;23,76;7,29;7,06;10,01;9,54;-4,00;-0,33;0,73;1,10;-2,88;5,36;7,91;6,63;4,72;0,84;0,16;0,94;11,91;15,34;138.415,86;52,86;4,18;-0,21;513.674.790,00
MULT3;25,75;4,29;10,10;2,30;1,05;82,84;67,34;51,35;7,70;10,17;2,47;0,74;5,19;20,67;-1,27;1,41;22,76;10,36;13,86;0,46;0,54;0,20;14,28;22,66;87.743.209,38;11,20;2,55;0,48;13.213.965.300,75
MWET3;13,00;;1,03;1,35;0,09;5,77;21,95;9,68;0,45;1,80;1,35;4,02;0,10;-0,89;-0,14;0,79;131,35;8,52;52,87;0,06;0,94;0,88;9,33;;1.271,33;9,64;12,66;0,00;26.191.518,18
MWET4;12,59;;0,99;1,31;0,08;5,77;21,95;9,68;0,44;1,80;1,35;4,02;0,10;-0,87;-0,14;0,79;131,35;8,52;52,87;0,06;0,94;0,88;9,33;;16.831,45;9,64;12,66;0,00;26.191.518,18
MYPK3;13,00;5,47;8,87;0,46;0,13;12,00;6,62;1,44;1,93;5,68;3,75;0,90;0,13;0,74;-0,25;1,61;5,23;1,47;7,68;0,28;0,69;1,02;8,89;-7,76;9.930.148,71;28,02;1,47;0,07;1.998.354.813,00
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;40,54;31,09;-0,59;0,00;4,84;4,84;6,51;0,00;0,00;0,00;2,62;-2,55;-0,19;10,52;0,07;0,75;0,32;12,75;;;16,57;-0,42;0,00;0,00
NEMO4;0,00;;0,00;0,00;0,00;40,54;31,09;-0,59;0,00;4,84;4,84;6,51;0,00;0,00;0,00;2,62;-2,55;-0,19;10,52;0,07;0,75;0,32;12,75;;;16,57;-0,42;0,00;0,00
NEMO5;52,97;;-125,37;3,20;0,24;40,54;31,09;-0,59;2,38;4,84;4,84;6,51;0,74;1,72;-0,30;2,62;-2,55;-0,19;10,52;0,07;0,75;0,32;12,75;;;16,57;-0,42;1,12;0,00
NEMO6;0,00;;0,00;0,00;0,00;40,54;31,09;-0,59;0,00;4,84;4,84;6,51;0,00;0,00;0,00;2,62;-2,55;-0,19;10,52;0,07;0,75;0,32;12,75;;;16,57;-0,42;0,00;0,00
NEOE3;25,00;3,97;8,65;0,90;0,28;26,86;19,89;7,07;3,07;7,62;4,55;1,33;0,61;11,54;-0,35;1,13;10,38;3,20;10,37;0,31;0,69;0,45;11,47;9,50;23.715.014,71;27,85;2,89;-0,44;30.344.931.200,00
NEXP3;3,84;;0,10;-0,20;0,28;43,77;132,33;112,43;0,09;0,02;-0,07;;0,12;-0,55;-0,65;0,53;-197,32;276,02;-236,08;-1,40;2,39;2,45;-3,43;;3.438,56;-19,02;37,54;0,00;10.197.384,96
NGRD3;26,50;;-7,77;0,54;0,41;58,70;-14,88;-11,31;-5,91;-2,98;2,93;-0,27;0,88;1,84;-0,64;2,54;-6,96;-5,22;-9,88;0,75;0,25;0,46;5,77;;327.357,57;49,01;-3,41;-0,01;242.235.016,00
NORD3;6,11;;-4,70;-0,25;2,09;91,57;-15,06;-344,09;-107,31;-207,93;-100,61;;16,16;-0,24;-2,30;0,01;-5,23;-44,52;0,30;-8,51;9,51;0,13;22,14;;5.562,67;-24,87;-1,30;-0,26;40.457.279,46
NRTQ3;0,00;;0,00;0,00;0,00;23,71;5,83;4,40;0,00;6,34;6,34;0,34;0,00;0,00;0,00;4,43;4,01;2,42;3,53;0,60;0,40;0,55;3,58;-16,05;;20,07;0,81;0,00;0,00
NTCO3;10,47;;-1,79;0,96;0,41;65,54;4,10;-33,03;14,39;17,27;2,88;0,19;0,59;2,92;-0,70;1,53;-53,96;-23,17;0,61;0,43;0,57;0,70;10,77;;88.521.208,00;10,86;-5,86;0,00;14.559.740.672,85
NUTR3;3,43;;8,08;1,06;0,41;17,76;7,05;2,88;3,30;4,08;0,78;0,25;0,23;1,29;-1,41;1,81;13,17;5,07;19,52;0,38;0,62;1,76;25,86;-30,42;18.415,38;3,22;0,42;3,14;45.428.292,00
ODER3;0,00;;0,00;0,00;0,00;28,70;8,15;5,61;0,00;;4,60;0,50;0,00;0,00;0,00;3,33;7,50;3,63;4,62;0,48;0,52;0,65;11,90;14,83;;48,79;3,66;0,00;
ODER4;97,78;0,36;26,72;2,00;0,97;28,70;8,15;5,61;18,39;;4,60;0,50;1,50;1,95;-3,35;3,33;7,50;3,63;4,62;0,48;0,52;0,65;11,90;14,83;0,00;48,79;3,66;-0,61;
ODPV3;11,57;7,82;11,23;4,63;2,82;36,46;31,61;24,29;8,63;7,95;-0,68;-0,36;2,73;-56,48;-3,91;0,85;41,21;25,15;36,22;0,61;0,39;1,04;4,75;14,57;23.929.548,14;2,50;1,03;1,33;6.315.198.559,02
OFSA3;25,43;2,86;11,11;2,16;1,08;50,58;81,96;11,92;1,62;1,85;0,24;0,31;1,32;2,91;-2,78;2,56;19,44;9,75;82,39;0,50;0,50;0,82;10,59;21,70;101.587,86;11,78;2,29;-0,02;1.371.923.222,58
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;0,63;;0,01;-0,01;0,01;-103,32;-68,99;847,38;-0,18;-8,80;-8,61;;0,13;-0,09;-0,01;0,70;-95,87;71,54;34,74;-0,75;1,74;0,08;-30,86;;2.364.569,33;-44,41;42,57;0,00;221.162.688,86
OIBR4;8,99;;0,21;-0,20;0,15;-103,32;-68,99;847,38;-2,59;-8,80;-8,61;;1,79;-1,29;-0,21;0,70;-95,87;71,54;34,74;-0,75;1,74;0,08;-30,86;;359.030,76;-44,41;42,57;0,00;221.162.688,86
OMGE3;27,57;;8,07;1.090,26;374,87;32,09;37,96;18,16;3,86;3,87;0,00;1,20;1,47;2.884,43;-519,39;1,88;13.508,17;4.644,53;10.038,83;0,34;0,66;255,70;30,00;90,67;;0,03;3,42;0,03;5.521.562.588,85
ONCO3;4,58;;-3,72;1,00;0,28;31,79;-3,68;-12,81;-12,95;-29,51;-16,56;1,27;0,48;1,59;-0,45;1,81;-26,78;-7,41;-4,32;0,28;0,70;0,58;;;6.947.897,00;4,60;-1,23;0,01;2.985.043.913,54
OPCT3;6,42;;-55,62;1,36;0,44;25,47;14,40;-1,37;5,27;10,23;4,96;1,28;0,76;3,35;-0,65;1,67;-2,44;-0,79;8,32;0,32;0,68;0,58;31,17;;1.480.644,33;4,73;-0,12;0,45;1.283.740.336,68
ORVR3;52,50;;173,83;6,54;1,49;44,69;28,02;3,10;19,26;25,06;5,80;1,97;5,40;11,88;-2,02;1,93;3,76;0,86;8,14;0,23;0,74;0,28;21,01;58,46;22.213.931,95;8,03;0,30;-2,36;5.046.660.727,50
OSXB3;2,67;;-0,01;0,00;0,01;99,31;-1.412,27;-2.292,64;-0,01;-7,08;-7,07;;0,12;-0,01;-0,01;0,01;-18,41;-114,07;75,68;-6,19;7,21;0,05;39,92;;7.655,05;-2.739,94;-504,56;0,00;8.405.261,46
PARD3;20,25;;36,76;5,30;2,10;26,45;13,31;6,98;19,27;19,93;0,66;0,18;2,57;-54,06;-3,28;0,90;14,42;5,70;14,80;0,40;0,60;0,82;13,44;2,56;;3,82;0,55;-1,04;5.403.493.010,25
PATI3;39,90;14,55;10,99;1,21;0,59;12,30;6,16;3,99;7,12;7,44;0,36;0,06;0,44;1,47;-2,25;2,20;11,05;5,39;7,80;0,49;0,51;1,35;14,96;37,28;9.831,73;32,85;3,63;0,04;949.959.644,58
PATI4;35,08;19,79;9,66;1,07;0,52;12,30;6,16;3,99;6,26;7,44;0,36;0,06;0,39;1,30;-1,98;2,20;11,05;5,39;7,80;0,49;0,51;1,35;14,96;37,28;9.053,50;32,85;3,63;0,04;949.959.644,58
PCAR3;3,03;;-0,78;0,54;0,08;27,63;-1,47;-10,10;-5,34;-13,92;-8,58;0,86;0,08;-11,17;-0,11;0,98;-69,32;-9,89;-6,37;0,14;0,86;0,98;-19,80;;18.201.201,48;5,64;-3,91;0,03;1.485.567.934,41
PCAR4;72,11;;-18,45;12,79;1,83;27,63;-1,47;-10,10;-127,17;-13,92;-8,58;0,86;1,86;-265,82;-2,58;0,98;-69,32;-9,89;-6,37;0,14;0,86;0,98;-19,80;;;5,64;-3,91;0,65;1.485.567.934,41
PDGR3;0,27;;-0,02;0,00;0,02;9,10;-82,43;-337,39;-0,07;-1,68;-1,61;;0,06;-0,01;-0,04;0,32;-13,80;-87,60;6,07;-6,35;7,49;0,26;-16,76;;837.859,71;-113,29;-15,63;0,00;8.016.578,10
PDTC3;1,14;;6,26;0,74;0,13;70,64;101,94;101,73;6,25;19,91;13,65;1,61;6,37;0,33;-0,40;2,40;11,74;2,10;3,13;0,18;0,82;0,02;;21,61;42.244,24;1,55;0,18;0,00;90.595.373,64
PEAB3;40,90;1,99;21,56;0,86;0,60;58,45;30,99;36,86;25,64;24,89;-1,72;-0,06;7,95;3,48;-0,76;5,51;3,99;2,77;2,66;0,69;0,31;0,08;-26,42;-4,69;102.735,83;47,53;1,90;0,26;802.515.931,70
PEAB4;44,00;2,01;23,19;0,93;0,64;58,45;30,99;36,86;27,58;24,89;-1,72;-0,06;8,55;3,75;-0,81;5,51;3,99;2,77;2,66;0,69;0,31;0,08;-26,42;-4,69;11.870,00;47,53;1,90;0,28;802.515.931,70
PETR3;35,87;15,63;9,61;1,17;0,40;49,67;27,45;9,70;3,39;5,67;2,40;0,82;0,93;-9,44;-0,45;0,72;12,16;4,19;14,43;0,34;0,65;0,43;10,18;3,69;361.634.364,86;30,71;3,73;-0,17;445.870.409.972,49
PETR4;32,85;17,11;8,80;1,07;0,37;49,67;27,45;9,70;3,11;5,67;2,40;0,82;0,85;-8,65;-0,41;0,72;12,16;4,19;14,43;0,34;0,65;0,43;10,18;3,69;1.247.774.961,95;30,71;3,73;-0,16;445.870.409.972,49
PETZ3;4,04;7,14;-45,91;1,13;0,48;46,91;1,66;-1,20;33,36;35,05;1,68;0,06;0,55;3,36;-0,75;1,68;-2,45;-1,05;0,90;0,43;0,57;0,88;27,50;;31.442.783,90;3,58;-0,09;0,09;1.869.469.297,00
PFRM3;8,86;6,59;8,81;0,83;0,19;14,98;2,87;1,17;3,61;5,85;2,24;0,52;0,10;1,19;-0,68;1,28;9,47;2,15;11,78;0,23;0,72;1,83;16,16;59,73;1.275.952,81;10,62;1,01;0,14;1.096.981.168,78
PGMN3;3,39;7,46;19,52;0,78;0,24;31,71;4,79;0,82;3,35;5,41;2,06;0,48;0,16;1,65;-0,50;1,41;3,97;1,25;13,10;0,31;0,69;1,51;14,51;;2.845.731,62;4,37;0,17;0,27;2.110.860.575,04
PINE3;5,68;8,70;12,68;1,20;0,05;16,78;0,62;3,62;74,35;75,89;;;0,46;;-0,05;;9,46;0,38;;0,04;0,96;0,10;25,71;;17.346,86;4,73;0,45;-0,29;1.312.636.419,52
PINE4;5,92;8,34;13,21;1,25;0,05;16,78;0,62;3,62;77,50;75,89;;;0,48;;-0,05;;9,46;0,38;;0,04;0,96;0,10;25,71;;1.408.261,43;4,73;0,45;-0,30;1.312.636.419,52
